Nombre,Email,Gender,Stock
Shae Tortoise,stortoise0@furl.net,Female,Jabil Inc.
Benjy Mackneis,bmackneis1@soup.io,Male,"Brocade Communications Systems, Inc."
Tiff Abarough,tabarough2@sbwire.com,Non-binary,Qwest Corporation
Kingsley Argue,kargue3@parallels.com,Male,John Hancock Pfd Income Fund II
Olivier McCarle,omccarle4@imgur.com,Male,Sempra Energy
Ermin Pharo,epharo5@mysql.com,Male,FB Financial Corporation
Cherida Jacques,cjacques6@google.ca,Female,eBay Inc.
Padraig Monday,pmonday7@admin.ch,Male,Synaptics Incorporated
Ilene Muzzi,imuzzi8@ebay.com,Female,"Cidara Therapeutics, Inc."
Gualterio Nassey,gnassey9@mashable.com,Male,"Cleveland BioLabs, Inc."
Alejandra Surguine,asurguinea@mashable.com,Female,Two Harbors Investments Corp
Anett Fessier,afessierb@de.vu,Female,Vanguard Short-Term Government ETF
Krystle Fitzer,kfitzerc@nymag.com,Female,Kinross Gold Corporation
Charo McAnulty,cmcanultyd@irs.gov,Female,"Aqua America, Inc."
Joshua Trainer,jtrainere@latimes.com,Non-binary,"Republic First Bancorp, Inc."
Tildie Callaghan,tcallaghanf@nytimes.com,Female,Oritani Financial Corp.
Milka Adshead,madsheadg@nature.com,Female,First Trust Large Cap Value AlphaDEX Fund
Leilah Woolbrook,lwoolbrookh@berkeley.edu,Female,Advent Claymore Convertible Securities and Income Fund
Gunilla Kincla,gkinclai@canalblog.com,Female,Nuveen Insured New York Select Tax-Free Income Portfolio
Odille Bursnoll,obursnollj@oakley.com,Female,Guggenheim Strategic Opportunities Fund
Joni Jirak,jjirakk@prnewswire.com,Female,Kilroy Realty Corporation
Virginia Zellick,vzellickl@biglobe.ne.jp,Female,"Watts Water Technologies, Inc."
Den Burril,dburrilm@mac.com,Male,"Rollins, Inc."
Joey Rosingdall,jrosingdalln@comcast.net,Male,Booz Allen Hamilton Holding Corporation
Chantalle Bendson,cbendsono@merriam-webster.com,Female,Nuveen Floating Rate Income Opportuntiy Fund
Greg Chetwin,gchetwinp@reverbnation.com,Male,vTv Therapeutics Inc.
Erick Ghelerdini,eghelerdiniq@jimdo.com,Genderfluid,Constellation Brands Inc
Baldwin Furmonger,bfurmongerr@de.vu,Male,J.M. Smucker Company (The)
Morganne Hillatt,mhillatts@weebly.com,Female,"OptimumBank Holdings, Inc."
